Centroid LON,Centroid LAT,Shelf,Sector,Fig2A,Fig2B,Fig2C,Fig3A,Fig3B,Fig3C,Fig4A,Fig4B,Fig4C,Fig5A
144.0129,-10.9271,3,1,0.032579913,2.645736852,0.458957887,4.428571429,1.165017912,0.514285714,3,5,2,0
143.5727,-10.9115,2,1,0.004693502,1.464726959,0.720260312,11.28571429,1.390428209,0.777733378,1,3,2,1
144.0142,-10.9638,3,1,0.009720417,2.645751311,0.057142857,1,2.645751311,0.142857143,6,6,0,0
144.0317,-10.9658,3,1,9.27E-05,2.644790735,0.342857143,1.142857143,1.466642992,0.428571429,4,6,2,2
143.4666,-10.8815,2,1,0.031291719,0.766005993,0.327305224,23.71428571,0.801099126,0.652379049,0,0,0,0
144.0348,-10.9967,3,1,1.71E-09,2.227783973,0.285714286,0.714285714,1.754992877,0.285714286,5,7,2,3
144.0166,-10.986,3,1,0.011314667,2.645750978,0.342857143,1.571428571,1.677923418,0.428571429,4,6,2,2
144.0101,-11.0063,3,1,0.006439374,2.645747728,0.342857143,1.571428571,1.552568298,0.428571429,4,6,2,2
144.0131,-11.018,3,1,0,NaN,0,0,NaN,0,7,7,0,0
143.9948,-11.0174,3,1,0.011202244,2.645725836,0.456519829,2.857142857,1.077419757,0.452380952,3,4,1,0
143.365,-10.9905,2,1,0.012836021,0.762249294,0.477110237,13.42857143,0.755593797,0.74156746,0,0,0,0
143.2949,-10.987,2,1,0.016958373,0.473907698,0.366708661,24.14285714,0.95459028,0.647160354,0,0,0,0
143.6633,-10.904,2,1,0.026514817,0.502161003,0.421107491,19.42857143,1.450599447,0.677245728,0,2,2,2
143.7574,-10.8996,2,1,0.035513067,0.679717671,0.3861911,19.57142857,1.505597208,0.694257703,1,2,1,1
143.5339,-10.9137,2,1,0.009881352,1.07929437,0.524128594,16.57142857,1.158587763,0.629824561,0,1,1,1
143.0994,-11.1743,1,1,0.08875701,0.487904102,0.405707862,19.85714286,0.727710081,0.651585196,0,0,0,0
142.9924,-11.0068,1,1,0.019750235,0.748091471,0.403035782,26.28571429,0.740860082,0.607119893,0,0,0,0
142.7555,-11.025,1,1,0.137644984,0.651883152,0.411738058,30,0.702376917,0.568880508,0,0,0,0
142.7823,-11.071,1,1,0.170857047,0.630232327,0.465170135,30,0.633040868,0.628651106,0,0,0,0
142.837,-11.1587,1,1,0.023061783,0.682122921,0.392395854,18.42857143,0.913852337,0.718416768,0,0,0,0
142.8113,-11.1855,1,1,0.04431876,0.556944549,0.457731688,16.85714286,0.731714762,0.658154929,0,0,0,0
142.8123,-11.1943,1,1,0.033731321,0.716514638,0.488169039,18.28571429,0.850570427,0.65635998,0,0,0,0
142.824,-11.2317,1,1,0.061639699,0.702728769,0.519438834,16.28571429,0.571321386,0.712736978,0,0,0,0
142.819,-11.2489,1,1,0.156002016,0.61943169,0.41782785,20.85714286,0.457726971,0.712506686,0,0,0,0
142.8724,-11.257,1,1,0.067279823,0.3845131,0.534210874,18.71428571,0.679918026,0.739174222,0,0,0,0
142.9284,-11.2489,1,1,0.047262687,0.421365563,0.51011382,18,0.775791114,0.691325118,0,0,0,0
142.8287,-11.2902,1,1,0.04433551,0.786709542,0.376669277,15.57142857,0.64631709,0.753025546,0,0,0,0
142.8309,-11.2939,1,1,0.038205054,0.872819543,0.450414241,13.71428571,0.710347422,0.715813598,0,0,0,0
142.8655,-11.3727,1,1,0.133737751,0.581668453,0.479056663,16.28571429,0.643726582,0.727484248,0,0,0,0
142.9656,-11.3844,1,1,0.032301368,0.60381846,0.373804462,10,0.680685929,0.755382713,0,0,0,0
